instant_hour,dteday,season_hour,yr_hour,mnth_hour,hr,holiday_hour,weekday_hour,workingday_hour,weathersit_hour,temp_hour,atemp_hour,hum_hour,windspeed_hour,casual_hour,registered_hour,cnt_hour,instant_day,season_day,yr_day,mnth_day,holiday_day,weekday_day,workingday_day,weathersit_day,temp_day,atemp_day,hum_day,windspeed_day,casual_day,registered_day,cnt_day,demand_cluster
13,2011-01-01,Spring,0,January,12,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,17.22,21.21,77.0,19.0,29,55,84,1,Spring,2011,January,No,Saturday,Weekend/Holiday,Misty/Cloudy,14.11,18.18,80.58,10.75,331,654,985,Low Demand
14,2011-01-01,Spring,0,January,13,No,Saturday,Weekend/Holiday,Misty/Cloudy,18.86,22.72,72.0,20.0,47,47,94,1,Spring,2011,January,No,Saturday,Weekend/Holiday,Misty/Cloudy,14.11,18.18,80.58,10.75,331,654,985,Low Demand
15,2011-01-01,Spring,0,January,14,No,Saturday,Weekend/Holiday,Misty/Cloudy,18.86,22.72,72.0,19.0,35,71,106,1,Spring,2011,January,No,Saturday,Weekend/Holiday,Misty/Cloudy,14.11,18.18,80.58,10.75,331,654,985,Low Demand
16,2011-01-01,Spring,0,January,15,No,Saturday,Weekend/Holiday,Misty/Cloudy,18.04,21.97,77.0,20.0,40,70,110,1,Spring,2011,January,No,Saturday,Weekend/Holiday,Misty/Cloudy,14.11,18.18,80.58,10.75,331,654,985,Low Demand
17,2011-01-01,Spring,0,January,16,No,Saturday,Weekend/Holiday,Misty/Cloudy,17.22,21.21,82.0,20.0,41,52,93,1,Spring,2011,January,No,Saturday,Weekend/Holiday,Misty/Cloudy,14.11,18.18,80.58,10.75,331,654,985,Low Demand
18,2011-01-01,Spring,0,January,17,No,Saturday,Weekend/Holiday,Misty/Cloudy,18.04,21.97,82.0,19.0,15,52,67,1,Spring,2011,January,No,Saturday,Weekend/Holiday,Misty/Cloudy,14.11,18.18,80.58,10.75,331,654,985,Low Demand
19,2011-01-01,Spring,0,January,18,No,Saturday,Weekend/Holiday,Light Snow/Rain,17.22,21.21,88.0,17.0,9,26,35,1,Spring,2011,January,No,Saturday,Weekend/Holiday,Misty/Cloudy,14.11,18.18,80.58,10.75,331,654,985,Low Demand
20,2011-01-01,Spring,0,January,19,No,Saturday,Weekend/Holiday,Light Snow/Rain,17.22,21.21,88.0,17.0,6,31,37,1,Spring,2011,January,No,Saturday,Weekend/Holiday,Misty/Cloudy,14.11,18.18,80.58,10.75,331,654,985,Low Demand
21,2011-01-01,Spring,0,January,20,No,Saturday,Weekend/Holiday,Misty/Cloudy,16.4,20.46,87.0,17.0,11,25,36,1,Spring,2011,January,No,Saturday,Weekend/Holiday,Misty/Cloudy,14.11,18.18,80.58,10.75,331,654,985,Low Demand
22,2011-01-01,Spring,0,January,21,No,Saturday,Weekend/Holiday,Misty/Cloudy,16.4,20.46,87.0,13.0,3,31,34,1,Spring,2011,January,No,Saturday,Weekend/Holiday,Misty/Cloudy,14.11,18.18,80.58,10.75,331,654,985,Low Demand
23,2011-01-01,Spring,0,January,22,No,Saturday,Weekend/Holiday,Misty/Cloudy,16.4,20.46,94.0,15.0,11,17,28,1,Spring,2011,January,No,Saturday,Weekend/Holiday,Misty/Cloudy,14.11,18.18,80.58,10.75,331,654,985,Low Demand
24,2011-01-01,Spring,0,January,23,No,Saturday,Weekend/Holiday,Misty/Cloudy,18.86,22.72,88.0,20.0,15,24,39,1,Spring,2011,January,No,Saturday,Weekend/Holiday,Misty/Cloudy,14.11,18.18,80.58,10.75,331,654,985,Low Demand
25,2011-01-02,Spring,0,January,0,No,Sunday,Weekend/Holiday,Misty/Cloudy,18.86,22.72,88.0,20.0,4,13,17,2,Spring,2011,January,No,Sunday,Weekend/Holiday,Misty/Cloudy,14.9,17.69,69.61,16.65,131,670,801,Low Demand
26,2011-01-02,Spring,0,January,1,No,Sunday,Weekend/Holiday,Misty/Cloudy,18.04,21.97,94.0,17.0,1,16,17,2,Spring,2011,January,No,Sunday,Weekend/Holiday,Misty/Cloudy,14.9,17.69,69.61,16.65,131,670,801,Low Demand
27,2011-01-02,Spring,0,January,2,No,Sunday,Weekend/Holiday,Misty/Cloudy,17.22,21.21,100.0,19.0,1,8,9,2,Spring,2011,January,No,Sunday,Weekend/Holiday,Misty/Cloudy,14.9,17.69,69.61,16.65,131,670,801,Low Demand
28,2011-01-02,Spring,0,January,3,No,Sunday,Weekend/Holiday,Misty/Cloudy,18.86,22.72,94.0,13.0,2,4,6,2,Spring,2011,January,No,Sunday,Weekend/Holiday,Misty/Cloudy,14.9,17.69,69.61,16.65,131,670,801,Low Demand
29,2011-01-02,Spring,0,January,4,No,Sunday,Weekend/Holiday,Misty/Cloudy,18.86,22.72,94.0,13.0,2,1,3,2,Spring,2011,January,No,Sunday,Weekend/Holiday,Misty/Cloudy,14.9,17.69,69.61,16.65,131,670,801,Low Demand
30,2011-01-02,Spring,0,January,6,No,Sunday,Weekend/Holiday,Light Snow/Rain,17.22,21.21,77.0,20.0,0,2,2,2,Spring,2011,January,No,Sunday,Weekend/Holiday,Misty/Cloudy,14.9,17.69,69.61,16.65,131,670,801,Low Demand
31,2011-01-02,Spring,0,January,7,No,Sunday,Weekend/Holiday,Misty/Cloudy,16.4,20.46,76.0,13.0,0,1,1,2,Spring,2011,January,No,Sunday,Weekend/Holiday,Misty/Cloudy,14.9,17.69,69.61,16.65,131,670,801,Low Demand
32,2011-01-02,Spring,0,January,8,No,Sunday,Weekend/Holiday,Light Snow/Rain,16.4,20.46,71.0,15.0,0,8,8,2,Spring,2011,January,No,Sunday,Weekend/Holiday,Misty/Cloudy,14.9,17.69,69.61,16.65,131,670,801,Low Demand
33,2011-01-02,Spring,0,January,9,No,Sunday,Weekend/Holiday,Misty/Cloudy,15.58,19.7,76.0,15.0,1,19,20,2,Spring,2011,January,No,Sunday,Weekend/Holiday,Misty/Cloudy,14.9,17.69,69.61,16.65,131,670,801,Low Demand
34,2011-01-02,Spring,0,January,10,No,Sunday,Weekend/Holiday,Misty/Cloudy,14.76,17.42,81.0,15.0,7,46,53,2,Spring,2011,January,No,Sunday,Weekend/Holiday,Misty/Cloudy,14.9,17.69,69.61,16.65,131,670,801,Low Demand
35,2011-01-02,Spring,0,January,11,No,Sunday,Weekend/Holiday,Misty/Cloudy,14.76,16.66,71.0,17.0,16,54,70,2,Spring,2011,January,No,Sunday,Weekend/Holiday,Misty/Cloudy,14.9,17.69,69.61,16.65,131,670,801,Low Demand
36,2011-01-02,Spring,0,January,12,No,Sunday,Weekend/Holiday,Misty/Cloudy,14.76,16.66,66.0,20.0,20,73,93,2,Spring,2011,January,No,Sunday,Weekend/Holiday,Misty/Cloudy,14.9,17.69,69.61,16.65,131,670,801,Low Demand
37,2011-01-02,Spring,0,January,13,No,Sunday,Weekend/Holiday,Misty/Cloudy,14.76,17.42,66.0,9.0,11,64,75,2,Spring,2011,January,No,Sunday,Weekend/Holiday,Misty/Cloudy,14.9,17.69,69.61,16.65,131,670,801,Low Demand
38,2011-01-02,Spring,0,January,14,No,Sunday,Weekend/Holiday,Light Snow/Rain,14.76,17.42,76.0,13.0,4,55,59,2,Spring,2011,January,No,Sunday,Weekend/Holiday,Misty/Cloudy,14.9,17.69,69.61,16.65,131,670,801,Low Demand
39,2011-01-02,Spring,0,January,15,No,Sunday,Weekend/Holiday,Light Snow/Rain,13.94,16.66,81.0,11.0,19,55,74,2,Spring,2011,January,No,Sunday,Weekend/Holiday,Misty/Cloudy,14.9,17.69,69.61,16.65,131,670,801,Low Demand
40,2011-01-02,Spring,0,January,16,No,Sunday,Weekend/Holiday,Light Snow/Rain,13.94,16.66,71.0,11.0,9,67,76,2,Spring,2011,January,No,Sunday,Weekend/Holiday,Misty/Cloudy,14.9,17.69,69.61,16.65,131,670,801,Low Demand
41,2011-01-02,Spring,0,January,17,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,13.94,16.66,57.0,13.0,7,58,65,2,Spring,2011,January,No,Sunday,Weekend/Holiday,Misty/Cloudy,14.9,17.69,69.61,16.65,131,670,801,Low Demand
42,2011-01-02,Spring,0,January,18,No,Sunday,Weekend/Holiday,Misty/Cloudy,14.76,16.66,46.0,22.0,10,43,53,2,Spring,2011,January,No,Sunday,Weekend/Holiday,Misty/Cloudy,14.9,17.69,69.61,16.65,131,670,801,Low Demand
43,2011-01-02,Spring,0,January,19,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,13.12,14.4,42.0,30.0,1,29,30,2,Spring,2011,January,No,Sunday,Weekend/Holiday,Misty/Cloudy,14.9,17.69,69.61,16.65,131,670,801,Low Demand
44,2011-01-02,Spring,0,January,20,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,12.3,13.64,39.0,24.0,5,17,22,2,Spring,2011,January,No,Sunday,Weekend/Holiday,Misty/Cloudy,14.9,17.69,69.61,16.65,131,670,801,Low Demand
45,2011-01-02,Spring,0,January,21,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,10.66,11.36,44.0,22.0,11,20,31,2,Spring,2011,January,No,Sunday,Weekend/Holiday,Misty/Cloudy,14.9,17.69,69.61,16.65,131,670,801,Low Demand
46,2011-01-02,Spring,0,January,22,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,9.84,10.6,44.0,20.0,0,9,9,2,Spring,2011,January,No,Sunday,Weekend/Holiday,Misty/Cloudy,14.9,17.69,69.61,16.65,131,670,801,Low Demand
47,2011-01-02,Spring,0,January,23,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,9.02,11.36,47.0,11.0,0,8,8,2,Spring,2011,January,No,Sunday,Weekend/Holiday,Misty/Cloudy,14.9,17.69,69.61,16.65,131,670,801,Low Demand
48,2011-01-03,Spring,0,January,0,No,Monday,Working Day,Clear/Partly Cloudy,9.02,9.85,44.0,24.0,0,5,5,3,Spring,2011,January,No,Monday,Working Day,Clear/Partly Cloudy,8.05,9.47,43.73,16.64,120,1229,1349,Low Demand
49,2011-01-03,Spring,0,January,1,No,Monday,Working Day,Clear/Partly Cloudy,8.2,8.33,44.0,28.0,0,2,2,3,Spring,2011,January,No,Monday,Working Day,Clear/Partly Cloudy,8.05,9.47,43.73,16.64,120,1229,1349,Low Demand
50,2011-01-03,Spring,0,January,4,No,Monday,Working Day,Clear/Partly Cloudy,6.56,6.82,47.0,26.0,0,1,1,3,Spring,2011,January,No,Monday,Working Day,Clear/Partly Cloudy,8.05,9.47,43.73,16.64,120,1229,1349,Low Demand
51,2011-01-03,Spring,0,January,5,No,Monday,Working Day,Clear/Partly Cloudy,6.56,6.82,47.0,19.0,0,3,3,3,Spring,2011,January,No,Monday,Working Day,Clear/Partly Cloudy,8.05,9.47,43.73,16.64,120,1229,1349,Low Demand
52,2011-01-03,Spring,0,January,6,No,Monday,Working Day,Clear/Partly Cloudy,5.74,5.3,50.0,26.0,0,30,30,3,Spring,2011,January,No,Monday,Working Day,Clear/Partly Cloudy,8.05,9.47,43.73,16.64,120,1229,1349,Low Demand
53,2011-01-03,Spring,0,January,7,No,Monday,Working Day,Clear/Partly Cloudy,5.74,6.82,50.0,13.0,1,63,64,3,Spring,2011,January,No,Monday,Working Day,Clear/Partly Cloudy,8.05,9.47,43.73,16.64,120,1229,1349,Low Demand
54,2011-01-03,Spring,0,January,8,No,Monday,Working Day,Clear/Partly Cloudy,5.74,6.06,50.0,19.0,1,153,154,3,Spring,2011,January,No,Monday,Working Day,Clear/Partly Cloudy,8.05,9.47,43.73,16.64,120,1229,1349,Low Demand
55,2011-01-03,Spring,0,January,9,No,Monday,Working Day,Clear/Partly Cloudy,6.56,6.82,43.0,26.0,7,81,88,3,Spring,2011,January,No,Monday,Working Day,Clear/Partly Cloudy,8.05,9.47,43.73,16.64,120,1229,1349,Low Demand
56,2011-01-03,Spring,0,January,10,No,Monday,Working Day,Clear/Partly Cloudy,7.38,8.33,43.0,17.0,11,33,44,3,Spring,2011,January,No,Monday,Working Day,Clear/Partly Cloudy,8.05,9.47,43.73,16.64,120,1229,1349,Low Demand
57,2011-01-03,Spring,0,January,11,No,Monday,Working Day,Clear/Partly Cloudy,8.2,9.09,40.0,22.0,10,41,51,3,Spring,2011,January,No,Monday,Working Day,Clear/Partly Cloudy,8.05,9.47,43.73,16.64,120,1229,1349,Low Demand
58,2011-01-03,Spring,0,January,12,No,Monday,Working Day,Clear/Partly Cloudy,9.02,10.6,35.0,20.0,13,48,61,3,Spring,2011,January,No,Monday,Working Day,Clear/Partly Cloudy,8.05,9.47,43.73,16.64,120,1229,1349,Low Demand
59,2011-01-03,Spring,0,January,13,No,Monday,Working Day,Clear/Partly Cloudy,9.84,10.6,35.0,19.0,8,53,61,3,Spring,2011,January,No,Monday,Working Day,Clear/Partly Cloudy,8.05,9.47,43.73,16.64,120,1229,1349,Low Demand
60,2011-01-03,Spring,0,January,14,No,Monday,Working Day,Clear/Partly Cloudy,10.66,12.12,30.0,19.0,11,66,77,3,Spring,2011,January,No,Monday,Working Day,Clear/Partly Cloudy,8.05,9.47,43.73,16.64,120,1229,1349,Low Demand
61,2011-01-03,Spring,0,January,15,No,Monday,Working Day,Clear/Partly Cloudy,10.66,12.12,30.0,17.0,14,58,72,3,Spring,2011,January,No,Monday,Working Day,Clear/Partly Cloudy,8.05,9.47,43.73,16.64,120,1229,1349,Low Demand
62,2011-01-03,Spring,0,January,16,No,Monday,Working Day,Clear/Partly Cloudy,10.66,12.12,30.0,17.0,9,67,76,3,Spring,2011,January,No,Monday,Working Day,Clear/Partly Cloudy,8.05,9.47,43.73,16.64,120,1229,1349,Low Demand
63,2011-01-03,Spring,0,January,17,No,Monday,Working Day,Clear/Partly Cloudy,9.84,11.36,30.0,15.0,11,146,157,3,Spring,2011,January,No,Monday,Working Day,Clear/Partly Cloudy,8.05,9.47,43.73,16.64,120,1229,1349,Low Demand
64,2011-01-03,Spring,0,January,18,No,Monday,Working Day,Clear/Partly Cloudy,9.84,12.88,32.0,7.0,9,148,157,3,Spring,2011,January,No,Monday,Working Day,Clear/Partly Cloudy,8.05,9.47,43.73,16.64,120,1229,1349,Low Demand
65,2011-01-03,Spring,0,January,19,No,Monday,Working Day,Clear/Partly Cloudy,8.2,12.88,47.0,0.0,8,102,110,3,Spring,2011,January,No,Monday,Working Day,Clear/Partly Cloudy,8.05,9.47,43.73,16.64,120,1229,1349,Low Demand
66,2011-01-03,Spring,0,January,20,No,Monday,Working Day,Clear/Partly Cloudy,8.2,11.36,47.0,7.0,3,49,52,3,Spring,2011,January,No,Monday,Working Day,Clear/Partly Cloudy,8.05,9.47,43.73,16.64,120,1229,1349,Low Demand
67,2011-01-03,Spring,0,January,21,No,Monday,Working Day,Clear/Partly Cloudy,7.38,9.85,64.0,9.0,3,49,52,3,Spring,2011,January,No,Monday,Working Day,Clear/Partly Cloudy,8.05,9.47,43.73,16.64,120,1229,1349,Low Demand
68,2011-01-03,Spring,0,January,22,No,Monday,Working Day,Clear/Partly Cloudy,5.74,7.58,69.0,9.0,0,20,20,3,Spring,2011,January,No,Monday,Working Day,Clear/Partly Cloudy,8.05,9.47,43.73,16.64,120,1229,1349,Low Demand
69,2011-01-03,Spring,0,January,23,No,Monday,Working Day,Clear/Partly Cloudy,7.38,10.6,55.0,7.0,1,11,12,3,Spring,2011,January,No,Monday,Working Day,Clear/Partly Cloudy,8.05,9.47,43.73,16.64,120,1229,1349,Low Demand
70,2011-01-04,Spring,0,January,0,No,Tuesday,Working Day,Clear/Partly Cloudy,6.56,9.09,55.0,7.0,0,5,5,4,Spring,2011,January,No,Tuesday,Working Day,Clear/Partly Cloudy,8.2,10.61,59.04,10.74,108,1454,1562,Low Demand
71,2011-01-04,Spring,0,January,1,No,Tuesday,Working Day,Clear/Partly Cloudy,6.56,9.09,59.0,7.0,0,2,2,4,Spring,2011,January,No,Tuesday,Working Day,Clear/Partly Cloudy,8.2,10.61,59.04,10.74,108,1454,1562,Low Demand
72,2011-01-04,Spring,0,January,2,No,Tuesday,Working Day,Clear/Partly Cloudy,5.74,7.58,63.0,9.0,0,1,1,4,Spring,2011,January,No,Tuesday,Working Day,Clear/Partly Cloudy,8.2,10.61,59.04,10.74,108,1454,1562,Low Demand
73,2011-01-04,Spring,0,January,4,No,Tuesday,Working Day,Clear/Partly Cloudy,5.74,9.09,63.0,6.0,0,2,2,4,Spring,2011,January,No,Tuesday,Working Day,Clear/Partly Cloudy,8.2,10.61,59.04,10.74,108,1454,1562,Low Demand
74,2011-01-04,Spring,0,January,5,No,Tuesday,Working Day,Clear/Partly Cloudy,4.92,7.58,68.0,7.0,0,4,4,4,Spring,2011,January,No,Tuesday,Working Day,Clear/Partly Cloudy,8.2,10.61,59.04,10.74,108,1454,1562,Low Demand
75,2011-01-04,Spring,0,January,6,No,Tuesday,Working Day,Clear/Partly Cloudy,4.92,7.58,74.0,7.0,0,36,36,4,Spring,2011,January,No,Tuesday,Working Day,Clear/Partly Cloudy,8.2,10.61,59.04,10.74,108,1454,1562,Low Demand
76,2011-01-04,Spring,0,January,7,No,Tuesday,Working Day,Clear/Partly Cloudy,4.92,7.58,74.0,9.0,2,92,94,4,Spring,2011,January,No,Tuesday,Working Day,Clear/Partly Cloudy,8.2,10.61,59.04,10.74,108,1454,1562,Low Demand
77,2011-01-04,Spring,0,January,8,No,Tuesday,Working Day,Clear/Partly Cloudy,5.74,7.58,69.0,11.0,2,177,179,4,Spring,2011,January,No,Tuesday,Working Day,Clear/Partly Cloudy,8.2,10.61,59.04,10.74,108,1454,1562,Low Demand
78,2011-01-04,Spring,0,January,9,No,Tuesday,Working Day,Clear/Partly Cloudy,6.56,7.58,64.0,15.0,2,98,100,4,Spring,2011,January,No,Tuesday,Working Day,Clear/Partly Cloudy,8.2,10.61,59.04,10.74,108,1454,1562,Low Demand
79,2011-01-04,Spring,0,January,10,No,Tuesday,Working Day,Misty/Cloudy,6.56,6.82,69.0,22.0,5,37,42,4,Spring,2011,January,No,Tuesday,Working Day,Clear/Partly Cloudy,8.2,10.61,59.04,10.74,108,1454,1562,Low Demand
80,2011-01-04,Spring,0,January,11,No,Tuesday,Working Day,Clear/Partly Cloudy,9.02,10.6,51.0,20.0,7,50,57,4,Spring,2011,January,No,Tuesday,Working Day,Clear/Partly Cloudy,8.2,10.61,59.04,10.74,108,1454,1562,Low Demand
81,2011-01-04,Spring,0,January,12,No,Tuesday,Working Day,Clear/Partly Cloudy,9.02,11.36,51.0,11.0,12,66,78,4,Spring,2011,January,No,Tuesday,Working Day,Clear/Partly Cloudy,8.2,10.61,59.04,10.74,108,1454,1562,Low Demand
82,2011-01-04,Spring,0,January,13,No,Tuesday,Working Day,Clear/Partly Cloudy,9.84,11.36,56.0,13.0,18,79,97,4,Spring,2011,January,No,Tuesday,Working Day,Clear/Partly Cloudy,8.2,10.61,59.04,10.74,108,1454,1562,Low Demand
83,2011-01-04,Spring,0,January,14,No,Tuesday,Working Day,Clear/Partly Cloudy,10.66,12.88,52.0,15.0,9,54,63,4,Spring,2011,January,No,Tuesday,Working Day,Clear/Partly Cloudy,8.2,10.61,59.04,10.74,108,1454,1562,Low Demand
84,2011-01-04,Spring,0,January,15,No,Tuesday,Working Day,Clear/Partly Cloudy,11.48,13.64,52.0,17.0,17,48,65,4,Spring,2011,January,No,Tuesday,Working Day,Clear/Partly Cloudy,8.2,10.61,59.04,10.74,108,1454,1562,Low Demand
85,2011-01-04,Spring,0,January,16,No,Tuesday,Working Day,Clear/Partly Cloudy,12.3,14.4,49.0,17.0,15,68,83,4,Spring,2011,January,No,Tuesday,Working Day,Clear/Partly Cloudy,8.2,10.61,59.04,10.74,108,1454,1562,Low Demand
86,2011-01-04,Spring,0,January,17,No,Tuesday,Working Day,Clear/Partly Cloudy,11.48,13.64,48.0,15.0,10,202,212,4,Spring,2011,January,No,Tuesday,Working Day,Clear/Partly Cloudy,8.2,10.61,59.04,10.74,108,1454,1562,Low Demand
87,2011-01-04,Spring,0,January,18,No,Tuesday,Working Day,Clear/Partly Cloudy,10.66,12.88,48.0,13.0,3,179,182,4,Spring,2011,January,No,Tuesday,Working Day,Clear/Partly Cloudy,8.2,10.61,59.04,10.74,108,1454,1562,Low Demand
88,2011-01-04,Spring,0,January,19,No,Tuesday,Working Day,Clear/Partly Cloudy,9.84,12.88,48.0,7.0,2,110,112,4,Spring,2011,January,No,Tuesday,Working Day,Clear/Partly Cloudy,8.2,10.61,59.04,10.74,108,1454,1562,Low Demand
89,2011-01-04,Spring,0,January,20,No,Tuesday,Working Day,Clear/Partly Cloudy,9.84,12.88,48.0,7.0,1,53,54,4,Spring,2011,January,No,Tuesday,Working Day,Clear/Partly Cloudy,8.2,10.61,59.04,10.74,108,1454,1562,Low Demand
90,2011-01-04,Spring,0,January,21,No,Tuesday,Working Day,Clear/Partly Cloudy,9.02,13.64,64.0,0.0,0,48,48,4,Spring,2011,January,No,Tuesday,Working Day,Clear/Partly Cloudy,8.2,10.61,59.04,10.74,108,1454,1562,Low Demand
91,2011-01-04,Spring,0,January,22,No,Tuesday,Working Day,Clear/Partly Cloudy,9.02,12.88,64.0,6.0,1,34,35,4,Spring,2011,January,No,Tuesday,Working Day,Clear/Partly Cloudy,8.2,10.61,59.04,10.74,108,1454,1562,Low Demand
92,2011-01-04,Spring,0,January,23,No,Tuesday,Working Day,Clear/Partly Cloudy,8.2,11.36,69.0,6.0,2,9,11,4,Spring,2011,January,No,Tuesday,Working Day,Clear/Partly Cloudy,8.2,10.61,59.04,10.74,108,1454,1562,Low Demand
93,2011-01-05,Spring,0,January,0,No,Wednesday,Working Day,Clear/Partly Cloudy,8.2,12.88,64.0,0.0,0,6,6,5,Spring,2011,January,No,Wednesday,Working Day,Clear/Partly Cloudy,9.31,11.46,43.7,12.52,82,1518,1600,Low Demand
94,2011-01-05,Spring,0,January,1,No,Wednesday,Working Day,Clear/Partly Cloudy,6.56,9.85,74.0,6.0,0,6,6,5,Spring,2011,January,No,Wednesday,Working Day,Clear/Partly Cloudy,9.31,11.46,43.7,12.52,82,1518,1600,Low Demand
95,2011-01-05,Spring,0,January,2,No,Wednesday,Working Day,Clear/Partly Cloudy,6.56,9.85,74.0,6.0,0,2,2,5,Spring,2011,January,No,Wednesday,Working Day,Clear/Partly Cloudy,9.31,11.46,43.7,12.52,82,1518,1600,Low Demand
96,2011-01-05,Spring,0,January,4,No,Wednesday,Working Day,Clear/Partly Cloudy,9.84,11.36,48.0,15.0,0,2,2,5,Spring,2011,January,No,Wednesday,Working Day,Clear/Partly Cloudy,9.31,11.46,43.7,12.52,82,1518,1600,Low Demand
97,2011-01-05,Spring,0,January,5,No,Wednesday,Working Day,Clear/Partly Cloudy,9.02,11.36,47.0,11.0,0,3,3,5,Spring,2011,January,No,Wednesday,Working Day,Clear/Partly Cloudy,9.31,11.46,43.7,12.52,82,1518,1600,Low Demand
98,2011-01-05,Spring,0,January,6,No,Wednesday,Working Day,Clear/Partly Cloudy,8.2,9.85,47.0,15.0,0,33,33,5,Spring,2011,January,No,Wednesday,Working Day,Clear/Partly Cloudy,9.31,11.46,43.7,12.52,82,1518,1600,Low Demand
99,2011-01-05,Spring,0,January,7,No,Wednesday,Working Day,Clear/Partly Cloudy,7.38,9.09,43.0,13.0,1,87,88,5,Spring,2011,January,No,Wednesday,Working Day,Clear/Partly Cloudy,9.31,11.46,43.7,12.52,82,1518,1600,Low Demand
100,2011-01-05,Spring,0,January,8,No,Wednesday,Working Day,Clear/Partly Cloudy,8.2,9.09,40.0,20.0,3,192,195,5,Spring,2011,January,No,Wednesday,Working Day,Clear/Partly Cloudy,9.31,11.46,43.7,12.52,82,1518,1600,Low Demand
101,2011-01-05,Spring,0,January,9,No,Wednesday,Working Day,Clear/Partly Cloudy,9.02,9.85,37.0,22.0,6,109,115,5,Spring,2011,January,No,Wednesday,Working Day,Clear/Partly Cloudy,9.31,11.46,43.7,12.52,82,1518,1600,Low Demand
